Categoría	Gen
Betalactámicos	OXA-13
Betalactámicos	OXA-14
Betalactámicos	OXA-15
Betalactámicos	OXA-16
Betalactámicos	OXA-17
Betalactámicos	OXA-18
Betalactámicos	OXA-19
Betalactámicos	OXA-20
Betalactámicos	OXA-21
Betalactámicos	OXA-22
Betalactámicos	OXA-23
Betalactámicos	OXA-24
Betalactámicos	OXA-25
Betalactámicos	OXA-26
Betalactámicos	OXA-27
Betalactámicos	OXA-28
Betalactámicos	OXA-29
Betalactámicos	OXA-31
Betalactámicos	OXA-32
Betalactámicos	OXA-34
Betalactámicos	OXA-35
Betalactámicos	OXA-36
Betalactámicos	OXA-37
Betalactámicos	OXA-42
Betalactámicos	OXA-43
Betalactámicos	OXA-45
Betalactámicos	OXA-46
Betalactámicos	OXA-47
Betalactámicos	OXA-48
Betalactámicos	OXA-49
Betalactámicos	OXA-50
Betalactámicos	OXA-51
Betalactámicos	OXA-53
Betalactámicos	OXA-54
Betalactámicos	OXA-55
Betalactámicos	OXA-56
Betalactámicos	OXA-57
Betalactámicos	OXA-58
Betalactámicos	OXA-59
Betalactámicos	OXA-60
Betalactámicos	OXA-61
Betalactámicos	OXA-62
Betalactámicos	OXA-63
Betalactámicos	OXA-64
Betalactámicos	OXA-65
Betalactámicos	OXA-66
Betalactámicos	OXA-67
Betalactámicos	OXA-68
Betalactámicos	OXA-69
Betalactámicos	OXA-70
Betalactámicos	OXA-71
Betalactámicos	OXA-72
Betalactámicos	OXA-73
Betalactámicos	OXA-74
Betalactámicos	OXA-75
Betalactámicos	OXA-76
Betalactámicos	OXA-77
Betalactámicos	OXA-78
Betalactámicos	OXA-79
Betalactámicos	OXA-80
Betalactámicos	OXA-82
Betalactámicos	OXA-83
Betalactámicos	OXA-84
Betalactámicos	OXA-85
Betalactámicos	OXA-86
Betalactámicos	OXA-87
Betalactámicos	OXA-88
Betalactámicos	OXA-89
Betalactámicos	OXA-90
Betalactámicos	OXA-91
Betalactámicos	OXA-92
Betalactámicos	OXA-93
Betalactámicos	OXA-94
Betalactámicos	OXA-95
Betalactámicos	OXA-96
Betalactámicos	OXA-97
Betalactámicos	OXA-98
Betalactámicos	OXA-99
Betalactámicos	OXA-100
Betalactámicos	OXA-101
Betalactámicos	OXA-104
Betalactámicos	OXA-106
Betalactámicos	OXA-107
Betalactámicos	OXA-108
Betalactámicos	OXA-109
Betalactámicos	OXA-110
Betalactámicos	OXA-111
Betalactámicos	OXA-112
Betalactámicos	OXA-113
Betalactámicos	OXA-114
Betalactámicos	OXA-115
Betalactámicos	OXA-116
Betalactámicos	OXA-117
Betalactámicos	OXA-118
Betalactámicos	OXA-119
Betalactámicos	OXA-120
Betalactámicos	OXA-128
Betalactámicos	OXA-129
Betalactámicos	OXA-130
Betalactámicos	OXA-131
Betalactámicos	OXA-132
Betalactámicos	OXA-133
Betalactámicos	OXA-134
Betalactámicos	OXA-136
Betalactámicos	OXA-137
Betalactámicos	OXA-138
Betalactámicos	OXA-139
Betalactámicos	OXA-141
Betalactámicos	OXA-142
Betalactámicos	OXA-143
Betalactámicos	OXA-144
Betalactámicos	OXA-145
Betalactámicos	OXA-146
Betalactámicos	OXA-147
Betalactámicos	OXA-148
Betalactámicos	OXA-149
Betalactámicos	OXA-150
Betalactámicos	OXA-160
Betalactámicos	OXA-161
Betalactámicos	OXA-162
Betalactámicos	OXA-163
Betalactámicos	OXA-164
Betalactámicos	OXA-165
Betalactámicos	OXA-166
Betalactámicos	OXA-167
Betalactámicos	OXA-168
Betalactámicos	OXA-169
Betalactámicos	OXA-170
Betalactámicos	OXA-171
Betalactámicos	OXA-172
Betalactámicos	OXA-173
Betalactámicos	OXA-174
Betalactámicos	OXA-175
Betalactámicos	OXA-176
Betalactámicos	OXA-177
Betalactámicos	OXA-178
Betalactámicos	OXA-179
Betalactámicos	OXA-180
Betalactámicos	OXA-181
Betalactámicos	OXA-182
Betalactámicos	OXA-183
Betalactámicos	OXA-192
Betalactámicos	OXA-194
Betalactámicos	OXA-195
Betalactámicos	OXA-196
Betalactámicos	OXA-197
Betalactámicos	OXA-198
Betalactámicos	OXA-199
Betalactámicos	OXA-200
Betalactámicos	OXA-201
Betalactámicos	OXA-202
Betalactámicos	OXA-203
Betalactámicos	OXA-204
Betalactámicos	OXA-205
Betalactámicos	OXA-206
Betalactámicos	OXA-207
Betalactámicos	OXA-208
Betalactámicos	OXA-209
Betalactámicos	OXA-210
Betalactámicos	OXA-211
Betalactámicos	OXA-212
Betalactámicos	OXA-213
Betalactámicos	OXA-214
Betalactámicos	OXA-215
Betalactámicos	OXA-216
Betalactámicos	OXA-217
Betalactámicos	OXA-219
Betalactámicos	OXA-223
Betalactámicos	OXA-224
Betalactámicos	OXA-225
Betalactámicos	OXA-228
Betalactámicos	OXA-229
Betalactámicos	OXA-230
Betalactámicos	OXA-231
Betalactámicos	OXA-237
Betalactámicos	OXA-236
Betalactámicos	OXA-235
Betalactámicos	OXA-239
Betalactámicos	OXA-240
Betalactámicos	OXA-241
Betalactámicos	OXA-242
Betalactámicos	OXA-243a
Betalactámicos	OXA-244
Betalactámicos	OXA-245
Betalactámicos	OXA-247
Betalactámicos	OXA-248
Betalactámicos	OXA-249
Betalactámicos	OXA-250
Betalactámicos	OXA-251
Betalactámicos	OXA-256
Betalactámicos	OXA-258
Betalactámicos	OXA-278
Betalactámicos	OXA-309
Betalactámicos	OXA-320
Betalactámicos	OXA-347
Betalactámicos	OXA-372
Betalactámicos	ADC-25
Betalactámicos	ADC-30
Betalactámicos	ADC-56
Betalactámicos	ADC-58
Betalactámicos	ADC-59
Betalactámicos	ADC-60
Betalactámicos	ADC-61
Betalactámicos	ADC-62
Betalactámicos	ADC-68
Betalactámicos	ADC-67
Betalactámicos	ADC-73
Betalactámicos	ADC-74
Betalactámicos	ADC-75
Betalactámicos	ADC-76
Betalactámicos	ADC-77
Betalactámicos	ADC-78
Betalactámicos	OCH-2
Betalactámicos	OCH-3
Betalactámicos	OCH-4
Betalactámicos	OCH-5
Betalactámicos	OCH-6
Betalactámicos	OCH-7
Betalactámicos	OCH-8
Betalactámicos	CARB-1
Betalactámicos	CARB-2
Betalactámicos	CARB-3
Betalactámicos	CARB-4
Betalactámicos	CARB-5
Betalactámicos	CARB-6
Betalactámicos	CARB-7
Betalactámicos	CARB-8
Betalactámicos	CARB-8_OU
Betalactámicos	CARB-9
Betalactámicos	CARB-10
Betalactámicos	CARB-11
Betalactámicos	B-1
Betalactámicos	B-2
Betalactámicos	B-3
Betalactámicos	B-5
Betalactámicos	B-6
Betalactámicos	B-7
Betalactámicos	B-8
Betalactámicos	B-9
Betalactámicos	B-10
Betalactámicos	B-11
Betalactámicos	B-12
Betalactámicos	B-13
Betalactámicos	B-14
Betalactámicos	VEB-1
Betalactámicos	VEB-2
Betalactámicos	VEB-3
Betalactámicos	VEB-4
Betalactámicos	VEB-5
Betalactámicos	VEB-6
Betalactámicos	VEB-7
Betalactámicos	VEB-8
Betalactámicos	VEB-1a
Betalactámicos	VEB-1b
Betalactámicos	VEB-11
Betalactámicos	VEB-12
Betalactámicos	VIM-1
Betalactámicos	VIM-2
Betalactámicos	VIM-3
Betalactámicos	VIM-4
Betalactámicos	VIM-5
Betalactámicos	VIM-6
Betalactámicos	VIM-7
Betalactámicos	VIM-8
Betalactámicos	VIM-9
Betalactámicos	VIM-10
Betalactámicos	VIM-11
Betalactámicos	VIM-12
Betalactámicos	VIM-13
Betalactámicos	VIM-14
Betalactámicos	VIM-15
Betalactámicos	VIM-16
Betalactámicos	VIM-17
Betalactámicos	VIM-18
Betalactámicos	VIM-19
Betalactámicos	VIM-20
Betalactámicos	VIM-23
Betalactámicos	VIM-24
Betalactámicos	VIM-25
Betalactámicos	VIM-26
Betalactámicos	VIM-27
Betalactámicos	VIM-28
Betalactámicos	VIM-29
Betalactámicos	VIM-30
Betalactámicos	VIM-31
Betalactámicos	VIM-32
Betalactámicos	VIM-33
Betalactámicos	VIM-34
Betalactámicos	VIM-35
Betalactámicos	VIM-36
Betalactámicos	VIM-37
Betalactámicos	VIM-38
Betalactámicos	VIM-39
Betalactámicos	VIM-42
Betalactámicos	VIM-43
Betalactámicos	VIM-44
Betalactámicos	VIM-45
Betalactámicos	VIM-46
Betalactámicos	CfiA1
Betalactámicos	cfiA4
Betalactámicos	cfiA8
Betalactámicos	cfiA9
Betalactámicos	cfiA10
Betalactámicos	cfiA13
Betalactámicos	cfiA14
Betalactámicos	cfxA
Betalactámicos	cfxA2
Betalactámicos	cfxA4
Betalactámicos	cfxA5
Betalactámicos	cfxA6
Betalactámicos	CTX-M-1
Betalactámicos	CTX-M-2
Betalactámicos	CTX-M-3
Betalactámicos	CTX-M-4
Betalactámicos	CTX-M-5
Betalactámicos	CTX-M-6
Betalactámicos	CTX-M-7
Betalactámicos	CTX-M-8
Betalactámicos	CTX-M-9
Betalactámicos	CTX-M-10
Betalactámicos	CTX-M-11
Betalactámicos	CTX-M-12
Betalactámicos	CTX-M-14
Betalactámicos	CTX-M-15
Betalactámicos	CTX-M-16
Betalactámicos	CTX-M-17
Betalactámicos	CTX-M-19
Betalactámicos	CTX-M-20
Betalactámicos	CTX-M-21
Betalactámicos	CTX-M-22
Betalactámicos	CTX-M-23
Betalactámicos	CTX-M-24
Betalactámicos	CTX-M-25
Betalactámicos	CTX-M-26
Betalactámicos	CTX-M-27
Betalactámicos	CTX-M-28
Betalactámicos	CTX-M-29
Betalactámicos	CTX-M-30
Betalactámicos	CTX-M-31
Betalactámicos	CTX-M-32
Betalactámicos	CTX-M-33
Betalactámicos	CTX-M-34
Betalactámicos	CTX-M-35
Betalactámicos	CTX-M-36
Betalactámicos	CTX-M-37
Betalactámicos	CTX-M-39
Betalactámicos	CTX-M-40
Betalactámicos	CTX-M-41
Betalactámicos	CTX-M-42
Betalactámicos	CTX-M-43
Betalactámicos	CTX-M-44
Betalactámicos	CTX-M-45
Betalactámicos	CTX-M-46
Betalactámicos	CTX-M-47
Betalactámicos	CTX-M-48
Betalactámicos	CTX-M-49
Betalactámicos	CTX-M-50
Betalactámicos	CTX-M-51
Betalactámicos	CTX-M-52
Betalactámicos	CTX-M-53
Betalactámicos	CTX-M-54
Betalactámicos	CTX-M-55
Betalactámicos	CTX-M-56
Betalactámicos	CTX-M-58
Betalactámicos	CTX-M-59
Betalactámicos	CTX-M-60
Betalactámicos	CTX-M-61
Betalactámicos	CTX-M-62
Betalactámicos	CTX-M-63
Betalactámicos	CTX-M-64
Betalactámicos	CTX-M-65
Betalactámicos	CTX-M-66
Betalactámicos	CTX-M-67
Betalactámicos	CTX-M-68
Betalactámicos	CTX-M-69
Betalactámicos	CTX-M-71
Betalactámicos	CTX-M-72
Betalactámicos	CTX-M-74
Betalactámicos	CTX-M-75
Betalactámicos	CTX-M-76
Betalactámicos	CTX-M-77
Betalactámicos	CTX-M-78
Betalactámicos	CTX-M-79
Betalactámicos	CTX-M-80
Betalactámicos	CTX-M-81
Betalactámicos	CTX-M-82
Betalactámicos	CTX-M-83
Betalactámicos	CTX-M-84
Betalactámicos	CTX-M-85
Betalactámicos	CTX-M-86
Betalactámicos	CTX-M-88
Betalactámicos	CTX-M-89
Betalactámicos	CTX-M-90
Betalactámicos	CTX-M-91
Betalactámicos	CTX-M-92
Betalactámicos	CTX-M-93
Betalactámicos	CTX-M-94
Betalactámicos	CTX-M-95
Betalactámicos	CTX-M-96
Betalactámicos	CTX-M-97
Betalactámicos	CTX-M-98
Betalactámicos	CTX-M-99
Betalactámicos	CTX-M-100
Betalactámicos	CTX-M-101
Betalactámicos	CTX-M-102
Betalactámicos	CTX-M-104
Betalactámicos	CTX-M-105
Betalactámicos	CTX-M-106
Betalactámicos	CTX-M-107
Betalactámicos	CTX-M-108
Betalactámicos	CTX-M-109
Betalactámicos	CTX-M-110
Betalactámicos	CTX-M-111
Betalactámicos	CTX-M-112
Betalactámicos	CTX-M-113
Betalactámicos	CTX-M-114
Betalactámicos	CTX-M-116
Betalactámicos	CTX-M-117
Betalactámicos	CTX-M-121
Betalactámicos	CTX-M-122
Betalactámicos	CTX-M-123
Betalactámicos	CTX-M-124
Betalactámicos	CTX-M-125
Betalactámicos	CTX-M-126
Betalactámicos	CTX-M-129
Betalactámicos	CTX-M-130
Betalactámicos	CTX-M-131
Betalactámicos	CTX-M-132
Betalactámicos	CTX-M-134
Betalactámicos	CTX-M-136
Betalactámicos	CTX-M-139
Betalactámicos	DES-1
Betalactámicos	LEN-1
Betalactámicos	LEN-2
Betalactámicos	LEN-3
Betalactámicos	LEN-4
Betalactámicos	LEN-5
Betalactámicos	LEN-6
Betalactámicos	LEN-7
Betalactámicos	LEN-8
Betalactámicos	LEN-9
Betalactámicos	LEN-10
Betalactámicos	LEN-11
Betalactámicos	LEN-12
Betalactámicos	LEN-13
Betalactámicos	LEN-15
Betalactámicos	LEN-16
Betalactámicos	LEN-17
Betalactámicos	LEN-18
Betalactámicos	LEN-19
Betalactámicos	LEN-20
Betalactámicos	LEN-21
Betalactámicos	LEN-22
Betalactámicos	LEN-23
Betalactámicos	LEN-24
Betalactámicos	LEN-25
Betalactámicos	LEN-26
Betalactámicos	LEN-35
Betalactámicos	LEN-36
Betalactámicos	LEN-37
Betalactámicos	ACI1
Betalactámicos	AQU1
Betalactámicos	AQU2
Betalactámicos	AQU3
Betalactámicos	Zn-dependent_hydrolase
Betalactámicos	beta-lactamase_class-C
Betalactámicos	BlaA1
Betalactámicos	Mbl
Betalactámicos	BlaA2
Betalactámicos	Pam-1
Betalactámicos	Tmb-1
Betalactámicos	Tmb-2
Fluoroquinolonas	Qnr-A1
Fluoroquinolonas	Qnr-A2
Fluoroquinolonas	QnrA3
Fluoroquinolonas	QnrA4
Fluoroquinolonas	QnrA5
Fluoroquinolonas	QnrA6
Fluoroquinolonas	QnrA7
Fluoroquinolonas	Qnr-AS
Fluoroquinolonas	QnrB1
Fluoroquinolonas	QnrB10
Fluoroquinolonas	qnrB12
Fluoroquinolonas	QnrB13
Fluoroquinolonas	QnrB14
Fluoroquinolonas	QnrB15
Fluoroquinolonas	qnrB17
Fluoroquinolonas	qnrB18
Fluoroquinolonas	QnrB19
Fluoroquinolonas	QnrB2
Fluoroquinolonas	QnrB20
Fluoroquinolonas	QnrB21
Fluoroquinolonas	QnrB22
Fluoroquinolonas	QnrB23
Fluoroquinolonas	QnrB24
Fluoroquinolonas	QnrB25
Fluoroquinolonas	QnrB26
Fluoroquinolonas	QnrB27
Fluoroquinolonas	QnrB28
Fluoroquinolonas	QnrB29
Fluoroquinolonas	QnrB3
Fluoroquinolonas	QnrB30
Fluoroquinolonas	QnrB31
Fluoroquinolonas	QnrB32
Fluoroquinolonas	QnrB33
Fluoroquinolonas	QnrB34
Fluoroquinolonas	QnrB35
Fluoroquinolonas	QnrB36
Fluoroquinolonas	QnrB37
Fluoroquinolonas	QnrB38
Fluoroquinolonas	QnrB4
Fluoroquinolonas	QnrB40
Fluoroquinolonas	QnrB41
Fluoroquinolonas	QnrB42
Fluoroquinolonas	QnrB43
Fluoroquinolonas	QnrB44
Fluoroquinolonas	QnrB45
Fluoroquinolonas	QnrB46
Fluoroquinolonas	QnrB47
Fluoroquinolonas	QnrB48
Fluoroquinolonas	QnrB49
Fluoroquinolonas	QnrB53
Fluoroquinolonas	QnrB5
Fluoroquinolonas	QnrB6
Fluoroquinolonas	QnrB7
Fluoroquinolonas	QnrB8
Fluoroquinolonas	QnrB72
Fluoroquinolonas	QnrC
Fluoroquinolonas	QnrD
Fluoroquinolonas	Qnr-S1
Fluoroquinolonas	QnrS2
Fluoroquinolonas	QnrS3
Fluoroquinolonas	QnrS
Fluoroquinolonas	Qnr-S5
Fluoroquinolonas	QnrVC1
Fluoroquinolonas	QnrVC5
Fluoroquinolonas	QnrVC4
Fluoroquinolonas	QnrVC6
Fluoroquinolonas	QnrVC7
Fluoroquinolonas	QepA
Fluoroquinolonas	QepA2
Fluoroquinolonas	norA
Fluoroquinolonas	OqxA
Fluoroquinolonas	OqxBgb
Fluoroquinolonas	QnrB9
Fosfomicina	FosA
Fosfomicina	FosB
Fosfomicina	FosC
Fosfomicina	FosA2
Fosfomicina	FosX
Ácido_Fusídico	far1
Glicopéptidos	VanH-M
Glicopéptidos	VanR-M
Glicopéptidos	VanS-M
Glicopéptidos	VanY-M
Glicopéptidos	VanX-M
Glicopéptidos	VanR-F
Glicopéptidos	VanS-F
Glicopéptidos	VanH-E
Glicopéptidos	VanR-B
Glicopéptidos	VanS-B
Glicopéptidos	VanC4
Glicopéptidos	VanC
Glicopéptidos	VanY-B
Glicopéptidos	VanX-B
Glicopéptidos	VanW-B
Glicopéptidos	VanR-D
Glicopéptidos	VanS-D
Glicopéptidos	VanY-D
Glicopéptidos	VanX-D
Glicopéptidos	VanXY-L
Glicopéptidos	VanTm-L
Glicopéptidos	VanTr-L
Glicopéptidos	VanR-L
Glicopéptidos	VanS-L
Glicopéptidos	VanH
Glicopéptidos	VanL
Glicopéptidos	VanB
Glicopéptidos	VanXYc2/3
Glicopéptidos	VanC2/3
Glicopéptidos	VanXYc3
Glicopéptidos	VanTc3
Glicopéptidos	VanRc3
Glicopéptidos	VanSc3
Glicopéptidos	VanXYc4
Glicopéptidos	VanTc4
Glicopéptidos	VanRc4
Glicopéptidos	VanSc4
Glicopéptidos	VanH-Pt
Glicopéptidos	VanH-Pt2
Glicopéptidos	VanA-A
Glicopéptidos	VanA-Ao2
Glicopéptidos	VanA-B
Glicopéptidos	VanA-D
Glicopéptidos	VanA-G
Glicopéptidos	VanA-M
Glicopéptidos	VanAE-Pp
Glicopéptidos	VanHA-Bc
Glicopéptidos	VanH-A
Glicopéptidos	VanH-Ac2
Glicopéptidos	VanH-Ao1
Glicopéptidos	VanH-Ao2
Glicopéptidos	VanH-B
Glicopéptidos	VanH-D
Glicopéptidos	VanR-A
Glicopéptidos	VanR-C
Glicopéptidos	VanR-Pt
Glicopéptidos	VanS-A
Glicopéptidos	VanS-C
Glicopéptidos	VanT
Glicopéptidos	VanS-Pt2
Glicopéptidos	VanS-Pt
Glicopéptidos	VanTc
Glicopéptidos	VanX-Yc
Glicopéptidos	VanZ-Pa
Glicopéptidos	VanX-A
Glicopéptidos	VanX-Ac1
Glicopéptidos	VanX-Ac2
Glicopéptidos	VanX-Ao1
Glicopéptidos	VanX-Ao2
Glicopéptidos	VanX-Pt
Glicopéptidos	VanX-Pt2
Glicopéptidos	VanX-Sc
Glicopéptidos	VanXE-Pp
Glicopéptidos	VanY-A
Glicopéptidos	VanY-Pt2
Glicopéptidos	VanY-Pt
Glicopéptidos	VanYF-Pp
Glicopéptidos	VanZ-A
Glicopéptidos	VanZ-Pa
Glicopéptidos	VanZF-Pp
Glicopéptidos	VanC1
Glicopéptidos	VanC2
Glicopéptidos	VanC3
Glicopéptidos	VanB
Glicopéptidos	VanE
Macrólidos-Lincosamidas-Estreptograminas	CarA
Macrólidos-Lincosamidas-Estreptograminas	CfrA
Macrólidos-Lincosamidas-Estreptograminas	EreA
Macrólidos-Lincosamidas-Estreptograminas	EreA2
Macrólidos-Lincosamidas-Estreptograminas	EreB
Macrólidos-Lincosamidas-Estreptograminas	Erm30
Macrólidos-Lincosamidas-Estreptograminas	Erm31
Macrólidos-Lincosamidas-Estreptograminas	Erm32
Macrólidos-Lincosamidas-Estreptograminas	Erm33
Macrólidos-Lincosamidas-Estreptograminas	Erm34
Macrólidos-Lincosamidas-Estreptograminas	Erm35
Macrólidos-Lincosamidas-Estreptograminas	Erm36
Macrólidos-Lincosamidas-Estreptograminas	Erm38
Macrólidos-Lincosamidas-Estreptograminas	Erm39
Macrólidos-Lincosamidas-Estreptograminas	Erm40
Macrólidos-Lincosamidas-Estreptograminas	Erm41
Macrólidos-Lincosamidas-Estreptograminas	Erm42
Macrólidos-Lincosamidas-Estreptograminas	ErmA
Macrólidos-Lincosamidas-Estreptograminas	ErmB
Macrólidos-Lincosamidas-Estreptograminas	ErmC
Macrólidos-Lincosamidas-Estreptograminas	ErmD
Macrólidos-Lincosamidas-Estreptograminas	ErmE
Macrólidos-Lincosamidas-Estreptograminas	ErmF
Macrólidos-Lincosamidas-Estreptograminas	ErmG
Macrólidos-Lincosamidas-Estreptograminas	ErmH
Macrólidos-Lincosamidas-Estreptograminas	ErmN
Macrólidos-Lincosamidas-Estreptograminas	ErmO
Macrólidos-Lincosamidas-Estreptograminas	ErmQ
Macrólidos-Lincosamidas-Estreptograminas	ErmR
Macrólidos-Lincosamidas-Estreptograminas	ErmS
Macrólidos-Lincosamidas-Estreptograminas	ErmT
Macrólidos-Lincosamidas-Estreptograminas	ErmV
Macrólidos-Lincosamidas-Estreptograminas	ErmW
Macrólidos-Lincosamidas-Estreptograminas	ErmX
Macrólidos-Lincosamidas-Estreptograminas	ErmY
Macrólidos-Lincosamidas-Estreptograminas	ErmZ
Macrólidos-Lincosamidas-Estreptograminas	ErmCX
Macrólidos-Lincosamidas-Estreptograminas	LnuB
Macrólidos-Lincosamidas-Estreptograminas	LmrA
Macrólidos-Lincosamidas-Estreptograminas	LmrB
Macrólidos-Lincosamidas-Estreptograminas	LinA
Macrólidos-Lincosamidas-Estreptograminas	LinB
Macrólidos-Lincosamidas-Estreptograminas	LnuC
Macrólidos-Lincosamidas-Estreptograminas	LnuD
Macrólidos-Lincosamidas-Estreptograminas	LnuF
Macrólidos-Lincosamidas-Estreptograminas	LsaA
Macrólidos-Lincosamidas-Estreptograminas	LsaB
Macrólidos-Lincosamidas-Estreptograminas	LsaC
Macrólidos-Lincosamidas-Estreptograminas	MefA
Macrólidos-Lincosamidas-Estreptograminas	MefB
Macrólidos-Lincosamidas-Estreptograminas	MphA
Macrólidos-Lincosamidas-Estreptograminas	MphB
Macrólidos-Lincosamidas-Estreptograminas	MphC
Macrólidos-Lincosamidas-Estreptograminas	MphD
Macrólidos-Lincosamidas-Estreptograminas	MphE
Macrólidos-Lincosamidas-Estreptograminas	LmrB
Macrólidos-Lincosamidas-Estreptograminas	TlrC
Nitroimidazol	NimB_Nitroimidazole_Gene
Oxazolidinonas-Fenicoles	OptrA
Macrólidos-Lincosamidas-Estreptograminas	MsrA
Macrólidos-Lincosamidas-Estreptograminas	MsrC
Macrólidos-Lincosamidas-Estreptograminas	MsrD
Macrólidos-Lincosamidas-Estreptograminas	MsrE
Macrólidos-Lincosamidas-Estreptograminas	OleB
Macrólidos-Lincosamidas-Estreptograminas	OleC
Macrólidos-Lincosamidas-Estreptograminas	SrmB
Macrólidos-Lincosamidas-Estreptograminas	VatA
Macrólidos-Lincosamidas-Estreptograminas	VatB
Macrólidos-Lincosamidas-Estreptograminas	VatC
Macrólidos-Lincosamidas-Estreptograminas	VatD
Macrólidos-Lincosamidas-Estreptograminas	VatE
Macrólidos-Lincosamidas-Estreptograminas	VatF
Macrólidos-Lincosamidas-Estreptograminas	VgaA
Macrólidos-Lincosamidas-Estreptograminas	vgaa-LC
Macrólidos-Lincosamidas-Estreptograminas	VgaB
Macrólidos-Lincosamidas-Estreptograminas	VgaD
Macrólidos-Lincosamidas-Estreptograminas	VgaE
Macrólidos-Lincosamidas-Estreptograminas	VgbA
Macrólidos-Lincosamidas-Estreptograminas	VgbB
Macrólidos-Lincosamidas-Estreptograminas	TlrC
Fenicoles	Cat
Fenicoles	Cat-pC221
Fenicoles	Cat-pC223
Fenicoles	Cat-86
Fenicoles	CatA1
Fenicoles	CatA2
Fenicoles	CatA3
Fenicoles	CatA7
Fenicoles	CatA8
Fenicoles	CatA9
Fenicoles	CatB
Fenicoles	CatB1
Fenicoles	CatB2
Fenicoles	CatB3
Fenicoles	CatB4
Fenicoles	CatB5
Fenicoles	CatB6
Fenicoles	CatB7
Fenicoles	CatB8
Fenicoles	CatB9
Fenicoles	CatB10
Fenicoles	CatD
Fenicoles	CatP
Fenicoles	CatQ
Fenicoles	CatS
Fenicoles	Cml
Fenicoles	CmlA1
Fenicoles	CmlA5
Fenicoles	CmlB1
Fenicoles	CmlV
Fenicoles	CmrA
Fenicoles	FexA
Fenicoles	FloR
Fenicoles	Cmr
Fenicoles	PexA
Fenicoles	Dha1
Fenicoles	CmxA
Fenicoles	CmxB
Rifampicina	Arr2
Rifampicina	Arr3
Rifampicina	Arr4
Rifampicina	Arr5
Rifampicina	Arr7
Rifampicina	Rif
Rifampicina	IRI
Sulfonamidas	SulI
Sulfonamidas	SulII
Sulfonamidas	SulIII
Tetraciclinas	otrA
Tetraciclinas	OtrB
Tetraciclinas	OtrC
Tetraciclinas	Tcr-3
Tetraciclinas	Tet-30
Tetraciclinas	Tet-31
Tetraciclinas	Tet-32
Tetraciclinas	Tet-33
Tetraciclinas	Tet-34
Tetraciclinas	Tet-35
Tetraciclinas	Tet-36
Tetraciclinas	Tet-37
Tetraciclinas	Tet-38
Tetraciclinas	Tet-39
Tetraciclinas	Tet-40
Tetraciclinas	Tet-41
Tetraciclinas	Tet-42
Tetraciclinas	Tet-43
Tetraciclinas	Tet-44
Tetraciclinas	TetR
Tetraciclinas	TetA
Tetraciclinas	TetB
Tetraciclinas	TetC
Tetraciclinas	TetD
Tetraciclinas	TetE
Tetraciclinas	TetG
Tetraciclinas	TetH
Tetraciclinas	TetJ
Tetraciclinas	TetK
Tetraciclinas	TetL
Tetraciclinas	TetM
Tetraciclinas	TetO
Tetraciclinas	TetQ
Tetraciclinas	TetS
Tetraciclinas	TetT
Tetraciclinas	TetU
Tetraciclinas	TetV
Tetraciclinas	TetW
Tetraciclinas	TetX
Tetraciclinas	TetY
Tetraciclinas	TetZ
Tetraciclinas	TetA-P
Tetraciclinas	TetB-P
Trimetoprima	DfrA1
Trimetoprima	DfrA10
Trimetoprima	DfrA12
Trimetoprima	DfrA13
Trimetoprima	DfrA14
Trimetoprima	DfrA15
Trimetoprima	DfrA15b
Trimetoprima	Dfr16
Trimetoprima	DfrA17
Trimetoprima	DfrA19
Trimetoprima	DfrA20
Trimetoprima	DfrA21
Trimetoprima	Dfr22
Trimetoprima	Dfr23
Trimetoprima	Dfr24
Trimetoprima	DfrA25
Trimetoprima	DfrA26
Trimetoprima	DfrA27
Trimetoprima	DfrA28
Trimetoprima	DfrA29
Trimetoprima	DfrA3
Trimetoprima	DfrA30
Trimetoprima	DfrA31
Trimetoprima	Dfr32
Trimetoprima	DfrA33
Trimetoprima	DfrA3b
Trimetoprima	DfrA5
Trimetoprima	DfrA6
Trimetoprima	dhfr7
Trimetoprima	DfrA8
Trimetoprima	DfrA9
Trimetoprima	DfrB1
Trimetoprima	DfrB2
Trimetoprima	DfrB3
Trimetoprima	DfrB4
Trimetoprima	DfrB5
Trimetoprima	DfrB6
Trimetoprima	DfrB8
Trimetoprima	DfrC
Trimetoprima	DfrD
Trimetoprima	DfrG
Trimetoprima	DfrK
Colistina	MCR-1
Colistina	MCR-2
